%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1508712034332542835,data,1,4,0,189.373306274,-459.486999512,-0.0717601627111,-0.642199158669
1508712034360289630,data,1,4,0,189.373199463,-459.486968994,-0.0722590908408,-0.640784502029
1508712034360490362,data,1,4,0,189.373138428,-459.486938477,-0.0732519105077,-0.639842510223
1508712034369019388,data,1,4,0,189.373077393,-459.486938477,-0.074436172843,-0.639199852943
1508712034372918661,data,1,4,0,189.373031616,-459.486907959,-0.0751578435302,-0.638808190823
1508712034382114207,data,1,4,0,189.373001099,-459.486877441,-0.075597576797,-0.63856947422
1508712034396400657,data,1,4,0,189.372970581,-459.486877441,-0.0764742568135,-0.63835054636
1508712034401725107,data,1,4,0,189.372955322,-459.486877441,-0.0770085528493,-0.638217151165
1508712034410106735,data,1,4,0,189.372940063,-459.486724854,-0.0764412209392,-0.624082446098
1508712034421499811,data,1,4,0,189.372924805,-459.48651123,-0.0769675225019,-0.615355730057
1508712034431781726,data,1,4,0,189.372924805,-459.486358643,-0.0772883072495,-0.61003690958
1508712034442116351,data,1,4,0,189.372894287,-459.486206055,-0.078528098762,-0.606657981873
1508712034454578557,data,1,4,0,189.372879028,-459.486083984,-0.0792837738991,-0.604598879814
1508712034461308495,data,1,4,0,189.372848511,-459.485992432,-0.0809569731355,-0.603178739548
1508712034472560632,data,1,4,0,189.372817993,-459.485931396,-0.081976801157,-0.60231333971
1508712034480371939,data,1,4,0,189.372772217,-459.485900879,-0.0843347907066,-0.601538062096
1508712034491714807,data,1,4,0,189.372634888,-459.486358643,-0.0946378484368,-0.648469030857
1508712034501789844,data,1,4,0,189.3724823,-459.486968994,-0.100917831063,-0.677075386047
1508712034510762834,data,1,4,0,189.372329712,-459.487548828,-0.10670093447,-0.694203794003
1508712034530645873,data,1,4,0,189.372192383,-459.488006592,-0.110225558281,-0.704642653465
1508712034533583415,data,1,4,0,189.372055054,-459.488342285,-0.114722654223,-0.71061694622
1508712034546219738,data,1,4,0,189.371948242,-459.488586426,-0.117463454604,-0.7142572999
1508712034552577952,data,1,4,0,189.371841431,-459.488769531,-0.12112442404,-0.71613150835
1508712034562290328,data,1,4,0,189.371749878,-459.488891602,-0.123355641961,-0.717273235321
1508712034575270093,data,1,4,0,189.371658325,-459.488983154,-0.126682817936,-0.717614591122
1508712034584548765,data,1,4,0,189.371582031,-459.489013672,-0.128710627556,-0.717822313309
1508712034592836069,data,1,4,0,189.371505737,-459.489044189,-0.131844907999,-0.717593491077
1508712034602641206,data,1,4,0,189.371429443,-459.489074707,-0.133755177259,-0.717453896999
1508712034613223230,data,1,4,0,189.371353149,-459.489074707,-0.137462377548,-0.716871917248
1508712034620177077,data,1,4,0,189.371307373,-459.488739014,-0.135772421956,-0.686580896378
1508712034633894040,data,1,4,0,189.371307373,-459.488342285,-0.134742125869,-0.668117344379
1508712034642098426,data,1,4,0,189.371292114,-459.487976074,-0.135897263885,-0.656485974789
1508712034652324507,data,1,4,0,189.371261597,-459.487670898,-0.136601343751,-0.64939725399
1508712034665746050,data,1,4,0,189.371231079,-459.487426758,-0.13892133534,-0.644661962986
1508712034671948741,data,1,4,0,189.371185303,-459.487243652,-0.140335425735,-0.641776382923
1508712034690712337,data,1,4,0,189.371139526,-459.487121582,-0.142580524087,-0.639704704285
1508712034695085576,data,1,4,0,189.371078491,-459.486999512,-0.14536421001,-0.638113319874
1508712034704121952,data,1,4,0,189.370803833,-459.487884521,-0.168237492442,-0.727056026459
1508712034710108703,data,1,4,0,189.370452881,-459.489044189,-0.184568807483,-0.780698537827
1508712034724722658,data,1,4,0,189.370132446,-459.490112305,-0.194522619247,-0.813393354416
1508712034732317556,data,1,4,0,189.369842529,-459.490966797,-0.202624440193,-0.832817912102
1508712034755638873,data,1,4,0,189.369613647,-459.491607666,-0.207561969757,-0.84465521574
1508712034772625778,data,1,4,0,189.369415283,-459.492095947,-0.212468013167,-0.851389467716
1508712034772788540,data,1,4,0,189.369247437,-459.492431641,-0.217042118311,-0.855083942413
1508712034788974340,data,1,4,0,189.369110107,-459.492645264,-0.219829708338,-0.857334673405
1508712034802291558,data,1,4,0,189.36895752,-459.492950439,-0.226726621389,-0.871873319149
1508712034827998638,data,1,4,0,189.368804932,-459.493225098,-0.232122391462,-0.880415976048
1508712034828199682,data,1,4,0,189.368667603,-459.493438721,-0.235410898924,-0.88562220335
1508712034828303694,data,1,4,0,189.368560791,-459.493621826,-0.237414985895,-0.888794958591
1508712034833314285,data,1,4,0,189.368484497,-459.493743896,-0.238636210561,-0.890728235245
1508712034857871400,data,1,4,0,189.368408203,-459.493835449,-0.242031008005,-0.891182005405
1508712034858053747,data,1,4,0,189.368331909,-459.493896484,-0.244100064039,-0.891458272934
1508712034862035365,data,1,4,0,189.368270874,-459.493927002,-0.245361015201,-0.891626477242
1508712034862624644,data,1,4,0,189.368209839,-459.49395752,-0.247381359339,-0.891379237175
1508712034870565953,data,1,4,0,189.368148804,-459.49395752,-0.24985472858,-0.890876829624
1508712034880924692,data,1,4,0,189.368103027,-459.49395752,-0.251362204552,-0.890570580959
1508712034890898478,data,1,4,0,189.368041992,-459.49395752,-0.253434062004,-0.890053093433
1508712034901428678,data,1,4,0,189.368408203,-459.492523193,-0.216272577643,-0.756613194942
1508712034909409363,data,1,4,0,189.368865967,-459.490753174,-0.194474607706,-0.675028324127
1508712034922747206,data,1,4,0,189.369293213,-459.489105225,-0.181188881397,-0.625303089619
1508712034930215488,data,1,4,0,189.369644165,-459.487762451,-0.173758193851,-0.594801902771
1508712034942162895,data,1,4,0,189.369903564,-459.486724854,-0.169230028987,-0.576214551926
1508712034951487401,data,1,4,0,189.37008667,-459.485992432,-0.167092710733,-0.564702987671
1508712034961684679,data,1,4,0,189.370223999,-459.485443115,-0.165790602565,-0.557688891888
1508712034971815655,data,1,4,0,189.370300293,-459.485076904,-0.165636241436,-0.553223073483
1508712034984292705,data,1,4,0,189.370346069,-459.484802246,-0.165970623493,-0.550372242928
1508712034993175954,data,1,4,0,189.125686646,-459.485351562,-0.189277648926,-0.615862250328
1508712035000091364,data,1,4,0,188.976394653,-459.486114502,-0.202788129449,-0.655683875084
1508712035014610630,data,1,4,0,188.885314941,-459.486877441,-0.210403725505,-0.679955244064
1508712035022611419,data,1,4,0,188.82975769,-459.487487793,-0.214787557721,-0.694710791111
1508712035033042295,data,1,4,0,188.795852661,-459.487976074,-0.217226922512,-0.703703582287
1508712035042075130,data,1,4,0,188.775177002,-459.488311768,-0.218573108315,-0.709183454514
1508712035052737415,data,1,4,0,188.762573242,-459.488555908,-0.219120278955,-0.712579905987
1508712035061373369,data,1,4,0,188.754882812,-459.488739014,-0.219401448965,-0.714649200439
1508712035070409798,data,1,4,0,188.750198364,-459.488861084,-0.219258785248,-0.715996086597
